date,new_known_case,newly_deceased,share_ever_rapid_test,share_rapid_test_in_last_week,share_b117,ever_vaccinated,r_effective
2020-02-09,0.072,0.0,,,,,
2020-02-10,0.12,0.0,,,,,
2020-02-11,0.12,0.0,,,,,
2020-02-12,0.105,0.0,,,,,
2020-02-13,0.094,0.0,,,,,
2020-02-14,0.09,0.002,,,,,
2020-02-15,0.102,0.002,,,,,
2020-02-16,0.114,0.002,,,,,
2020-02-17,0.108,0.002,,,,,
2020-02-18,0.119,0.003,,,,,
2020-02-19,0.133,0.005,,,,,
2020-02-20,0.179,0.01,,,,,
2020-02-21,0.2,0.009,,,,,
2020-02-22,0.22,0.009,,,,,
2020-02-23,0.274,0.01,,,,,
2020-02-24,0.373,0.01,,,,,
2020-02-25,0.532,0.012,,,,,
2020-02-26,0.783,0.024,,,,,
2020-02-27,1.005,0.022,,,,,
2020-02-28,1.348,0.029,,,,,
2020-02-29,1.632,0.033,,,,,
2020-03-01,1.959,0.038,,,,,
2020-03-02,2.348,0.053,,,,,
2020-03-03,2.69,0.069,,,,,
2020-03-04,3.134,0.072,,,,,
2020-03-05,3.645,0.084,,,,,
2020-03-06,4.437,0.11,,,,,2.34
2020-03-07,5.515,0.145,,,,,2.56
2020-03-08,7.015,0.176,,,,,2.93
2020-03-09,9.551,0.205,,,,,3.13
2020-03-10,12.9,0.246,,,,,3.22
2020-03-11,17.041,0.312,,,,,3.12
2020-03-12,21.687,0.399,,,,,2.84
2020-03-13,27.241,0.501,,,,,2.5
2020-03-14,32.542,0.568,,,,,2.18
2020-03-15,37.609,0.699,,,,,1.99
2020-03-16,44.003,0.89,,,,,1.74
2020-03-17,48.632,1.048,,,,,1.56
2020-03-18,52.645,1.21,,,,,1.39
2020-03-19,55.117,1.325,,,,,1.24
2020-03-20,57.329,1.53,,,,,1.13
2020-03-21,57.914,1.675,,,,,1.04
2020-03-22,56.816,1.728,,,,,0.98
2020-03-23,55.921,1.933,,,,,0.92
2020-03-24,54.356,2.077,,,,,0.9
2020-03-25,53.334,2.277,,,,,0.9
2020-03-26,52.756,2.451,,,,,0.88
2020-03-27,51.468,2.552,,,,,0.9
2020-03-28,50.95,2.759,,,,,0.9
2020-03-29,50.303,2.842,,,,,0.9
2020-03-30,49.269,2.936,,,,,0.92
2020-03-31,49.162,3.031,,,,,0.93
2020-04-01,48.964,3.12,,,,,0.93
2020-04-02,48.943,3.301,,,,,0.95
2020-04-03,48.811,3.444,,,,,0.93
2020-04-04,47.656,3.386,,,,,0.92
2020-04-05,46.972,3.43,,,,,0.89
2020-04-06,45.485,3.404,,,,,0.89
2020-04-07,44.602,3.398,,,,,0.87
2020-04-08,42.871,3.339,,,,,0.85
2020-04-09,41.215,3.198,,,,,0.83
2020-04-10,38.127,2.959,,,,,0.81
2020-04-11,36.522,2.85,,,,,0.81
2020-04-12,35.253,2.762,,,,,0.79
2020-04-13,32.298,2.472,,,,,0.79
2020-04-14,29.886,2.293,,,,,0.78
2020-04-15,27.793,2.095,,,,,0.76
2020-04-16,25.842,1.886,,,,,0.78
2020-04-17,25.174,1.764,,,,,0.8
2020-04-18,24.0,1.644,,,,,0.81
2020-04-19,22.954,1.554,,,,,0.84
2020-04-20,22.666,1.549,,,,,0.84
2020-04-21,21.707,1.448,,,,,0.82
2020-04-22,20.818,1.334,,,,,0.83
2020-04-23,19.833,1.286,,,,,0.81
2020-04-24,18.587,1.181,,,,,0.81
2020-04-25,17.683,1.117,,,,,0.83
2020-04-26,16.823,1.005,,,,,0.82
2020-04-27,16.059,0.904,,,,,0.82
2020-04-28,15.33,0.849,,,,,0.81
2020-04-29,14.269,0.79,,,,,0.81
2020-04-30,13.504,0.716,,,,,0.81
2020-05-01,12.491,0.661,,,,,0.82
2020-05-02,11.733,0.597,,,,,0.85
2020-05-03,11.396,0.578,,,,,0.86
2020-05-04,10.807,0.54,,,,,0.89
2020-05-05,10.496,0.491,,,,,0.9
2020-05-06,10.193,0.43,,,,,0.89
2020-05-07,9.699,0.391,,,,,0.9
2020-05-08,9.58,0.386,,,,,0.89
2020-05-09,9.448,0.356,,,,,0.87
2020-05-10,9.188,0.358,,,,,0.87
2020-05-11,8.931,0.322,,,,,0.85
2020-05-12,8.491,0.284,,,,,0.85
2020-05-13,8.127,0.284,,,,,0.85
2020-05-14,7.752,0.25,,,,,0.89
2020-05-15,7.637,0.244,,,,,0.92
2020-05-16,7.458,0.272,,,,,0.93
2020-05-17,7.365,0.251,,,,,0.96
2020-05-18,7.275,0.234,,,,,0.92
2020-05-19,7.084,0.229,,,,,0.92
2020-05-20,7.079,0.236,,,,,0.91
2020-05-21,6.694,0.219,,,,,0.85
2020-05-22,6.182,0.188,,,,,0.83
2020-05-23,5.923,0.165,,,,,0.82
2020-05-24,5.745,0.153,,,,,0.81
2020-05-25,5.444,0.148,,,,,0.87
2020-05-26,5.506,0.15,,,,,0.89
2020-05-27,5.212,0.12,,,,,0.91
2020-05-28,5.267,0.124,,,,,0.94
2020-05-29,5.169,0.11,,,,,0.92
2020-05-30,5.16,0.1,,,,,0.92
2020-05-31,5.033,0.102,,,,,0.87
2020-06-01,4.668,0.096,,,,,0.89
2020-06-02,4.281,0.083,,,,,0.89
2020-06-03,4.17,0.071,,,,,0.91
2020-06-04,4.174,0.064,,,,,0.95
2020-06-05,4.177,0.067,,,,,0.96
2020-06-06,4.055,0.071,,,,,0.96
2020-06-07,4.0,0.067,,,,,1.01
2020-06-08,4.219,0.062,,,,,1.03
2020-06-09,4.327,0.06,,,,,1.04
2020-06-10,4.368,0.064,,,,,1.06
2020-06-11,4.136,0.06,,,,,1.05
2020-06-12,4.122,0.074,,,,,1.07
2020-06-13,4.238,0.069,,,,,1.11
2020-06-14,4.368,0.065,,,,,1.19
2020-06-15,4.432,0.067,,,,,1.43
2020-06-16,5.299,0.069,,,,,1.48
2020-06-17,5.706,0.065,,,,,1.47
2020-06-18,6.157,0.064,,,,,1.42
2020-06-19,6.873,0.048,,,,,1.19
2020-06-20,7.115,0.055,,,,,1.13
2020-06-21,7.224,0.057,,,,,1.04
2020-06-22,7.373,0.055,,,,,0.83
2020-06-23,6.666,0.057,,,,,0.76
2020-06-24,6.241,0.052,,,,,0.73
2020-06-25,6.088,0.06,,,,,0.73
2020-06-26,5.592,0.062,,,,,0.83
2020-06-27,5.322,0.052,,,,,0.87
2020-06-28,5.219,0.045,,,,,0.89
2020-06-29,5.157,0.046,,,,,0.93
2020-06-30,5.077,0.038,,,,,0.95
2020-07-01,5.014,0.043,,,,,0.94
2020-07-02,4.89,0.041,,,,,0.93
2020-07-03,4.735,0.04,,,,,0.9
2020-07-04,4.668,0.04,,,,,0.92
2020-07-05,4.628,0.046,,,,,0.92
2020-07-06,4.485,0.045,,,,,0.93
2020-07-07,4.363,0.052,,,,,0.93
2020-07-08,4.282,0.046,,,,,0.95
2020-07-09,4.246,0.045,,,,,1.01
2020-07-10,4.318,0.043,,,,,1.07
2020-07-11,4.418,0.045,,,,,1.12
2020-07-12,4.413,0.038,,,,,1.17
2020-07-13,4.59,0.038,,,,,1.19
2020-07-14,4.742,0.036,,,,,1.23
2020-07-15,5.053,0.04,,,,,1.23
2020-07-16,5.246,0.045,,,,,1.19
2020-07-17,5.373,0.045,,,,,1.17
2020-07-18,5.633,0.045,,,,,1.14
2020-07-19,5.893,0.059,,,,,1.16
2020-07-20,6.124,0.067,,,,,1.17
2020-07-21,6.351,0.065,,,,,1.19
2020-07-22,6.53,0.067,,,,,1.2
2020-07-23,6.766,0.06,,,,,1.19
2020-07-24,7.12,0.059,,,,,1.17
2020-07-25,7.274,0.06,,,,,1.14
2020-07-26,7.389,0.053,,,,,1.12
2020-07-27,7.52,0.052,,,,,1.09
2020-07-28,7.747,0.048,,,,,1.06
2020-07-29,7.919,0.046,,,,,1.06
2020-07-30,8.127,0.05,,,,,1.05
2020-07-31,8.325,0.071,,,,,1.08
2020-08-01,8.504,0.067,,,,,1.13
2020-08-02,8.692,0.064,,,,,1.17
2020-08-03,9.067,0.059,,,,,1.19
2020-08-04,9.425,0.062,,,,,1.19
2020-08-05,9.807,0.055,,,,,1.17
2020-08-06,10.346,0.053,,,,,1.17
2020-08-07,10.685,0.036,,,,,1.16
2020-08-08,10.929,0.041,,,,,1.13
2020-08-09,11.022,0.043,,,,,1.14
2020-08-10,11.632,0.05,,,,,1.14
2020-08-11,12.127,0.05,,,,,1.16
2020-08-12,12.914,0.062,,,,,1.18
2020-08-13,13.499,0.065,,,,,1.17
2020-08-14,14.015,0.069,,,,,1.15
2020-08-15,14.232,0.069,,,,,1.12
2020-08-16,14.551,0.065,,,,,1.07
2020-08-17,15.071,0.062,,,,,1.06
2020-08-18,15.559,0.064,,,,,1.03
2020-08-19,15.731,0.059,,,,,0.99
2020-08-20,15.695,0.053,,,,,0.97
2020-08-21,15.967,0.043,,,,,0.95
2020-08-22,16.136,0.038,,,,,0.95
2020-08-23,16.193,0.04,,,,,0.97
2020-08-24,16.09,0.034,,,,,0.98
2020-08-25,16.131,0.033,,,,,0.98
2020-08-26,15.99,0.028,,,,,0.98
2020-08-27,16.034,0.029,,,,,0.98
2020-08-28,15.683,0.04,,,,,0.98
2020-08-29,15.396,0.045,,,,,0.97
2020-08-30,15.286,0.043,,,,,0.96
2020-08-31,14.909,0.046,,,,,0.98
2020-09-01,14.775,0.05,,,,,1.01
2020-09-02,14.554,0.06,,,,,1.03
2020-09-03,14.516,0.062,,,,,1.06
2020-09-04,14.893,0.067,,,,,1.06
2020-09-05,15.363,0.072,,,,,1.08
2020-09-06,15.728,0.079,,,,,1.1
2020-09-07,16.399,0.086,,,,,1.09
2020-09-08,16.718,0.102,,,,,1.1
2020-09-09,17.353,0.102,,,,,1.11
2020-09-10,17.85,0.107,,,,,1.12
2020-09-11,18.134,0.112,,,,,1.15
2020-09-12,18.627,0.119,,,,,1.14
2020-09-13,18.998,0.119,,,,,1.15
2020-09-14,19.522,0.12,,,,,1.15
2020-09-15,20.079,0.117,,,,,1.14
2020-09-16,20.661,0.126,,,,,1.12
2020-09-17,21.17,0.134,,,,,1.07
2020-09-18,21.618,0.139,,,,,1.03
2020-09-19,21.661,0.15,,,,,1.01
2020-09-20,21.683,0.172,,,,,1.01
2020-09-21,21.854,0.176,,,,,1.02
2020-09-22,21.969,0.189,,,,,1.04
2020-09-23,22.065,0.186,,,,,1.06
2020-09-24,22.37,0.196,,,,,1.09
2020-09-25,22.857,0.208,,,,,1.11
2020-09-26,23.54,0.21,,,,,1.12
2020-09-27,23.974,0.201,,,,,1.12
2020-09-28,24.608,0.215,,,,,1.13
2020-09-29,25.484,0.201,,,,,1.15
2020-09-30,26.509,0.217,,,,,1.19
2020-10-01,27.916,0.227,,,,,1.23
2020-10-02,29.793,0.25,,,,,1.28
2020-10-03,31.609,0.25,,,,,1.31
2020-10-04,33.043,0.258,,,,,1.36
2020-10-05,35.487,0.298,,,,,1.38
2020-10-06,38.251,0.318,,,,,1.39
